,shape_area,binomial
286,318786040.76520556,Crocidura grandiceps
287,90511796317.04555,Notiosorex cockrumi
288,1834235998791.0771,Lophuromys flavopunctatus
289,470129520743.89343,Coendou quichua
290,3854148395706.845,Lepus nigricollis
291,318834168712.39386,Bos gaurus
292,35375110305.099205,Murina aenea
293,198776386383.7002,Mus cervicolor
294,59047961587.77624,Mus cervicolor
295,2269762686564.495,Mops thersites
296,166271471459.8872,Mormopterus lumsdenae
297,1601669109444.2703,Pipistrellus nanulus
298,4250234.463714665,Taphozous australis
299,2298010353813.491,Petaurus breviceps
300,3158133621.608124,Connochaetes taurinus
301,186728039637.6906,Colobus guereza
302,515948341127.3785,Pipistrellus grandidieri
303,66944710481.45749,Chodsigoa smithii
304,1661109050.1827614,Tupaia splendidula
305,803125765.4471139,Syconycteris australis
306,981917759943.0709,Scleronycteris ega
307,5493089116.973757,Tarsius wallacei
308,442495734.44421476,Hippocamelus bisulcus
309,14369101298.074217,Hippocamelus bisulcus
310,461718958.8576896,Tadarida teniotis
311,59632758054.19661,Caracal aurata
312,64713246.74207941,Tadarida teniotis
313,9114723.308086298,Tadarida teniotis
314,3516826405790.3022,Diplomesodon pulchellum
315,466137927007.7164,Parascaptor leucura
316,1025365041750.9725,Talpa levantis
317,3428620869223.8745,Tupaia belangeri
318,177209230.31428468,Tupaia splendidula
319,34223805.60889137,Tupaia splendidula
320,37243975.47630687,Petrogale rothschildi
321,237687948240.93665,Gazella arabica
322,20200262327.404808,Crocidura baileyi
323,111899313966.68237,Abrothrix lanosus
324,142718595688.05905,Allactaga tetradactyla
325,2957605254651.976,Aonyx congicus
326,3239852777484.479,Enchisthenes hartii
327,3063733045170.6245,Atherurus macrourus
328,335078971.30977154,Pteropus anetianus
329,44563179614931.555,Canis latrans
330,4865048235891.078,Scotophilus kuhlii
331,5470103.705424817,Chaerephon johorensis
332,3215156216135.603,Cephalophus nigrifrons
333,69580391497.95905,Chalinolobus gouldii
334,10827558991691.623,Chiroderma villosum
335,11904727768.773901,Crocidura palawanensis
336,1227264914.4494307,Crocidura kivuana
337,1019102391313.6174,Cryptomys hottentotus
338,433490141433.9427,Cynopterus horsfieldii
339,471590771.10411876,Tadarida teniotis
340,6454763.0211297,Tadarida teniotis
341,20529875839759.117,Dasypus novemcinctus
342,859984604725.1198,Taphozous troughtoni
343,7537641166.012081,Saccolaimus saccolaimus
344,12251658420001.844,Eidolon helvum
345,81634099.70272547,Trachypithecus auratus
346,108079761236.73549,Trachypithecus auratus
347,17781741726954.05,Eptesicus furinalis
348,1913556837092.1458,Vespadelus vulturnus
349,77666854528.5712,Vespadelus vulturnus
350,412341410.12156314,Eulemur sanfordi
351,986940839153.5015,Euryzygomatomys spinosus
352,698669497950.2749,Exilisciurus exilis
353,557427250.5719392,Saccolaimus saccolaimus
354,698637107508.5623,Gorilla gorilla
355,1130526555521.2185,Graphiurus murinus
356,1921206104861.4548,Myotis horsfieldii
357,1025805766372.2646,Histiotus alienus
358,41906527856.5036,Saccolaimus saccolaimus
359,10658076154611.314,Rhinolophus hipposideros
360,367509370451.2035,Lemniscomys barbarus
361,967926118479.7954,Lepus othus
362,74269396419773.42,Lynx lynx
363,1974754041474.0244,Macaca assamensis
364,617251800150.9819,Macaca radiata
365,315705484.8436721,Urocyon littoralis
366,1230519352336.4082,Malacomys longipes
367,85660859.1334943,Manis javanica
368,433491506554.09607,Manis javanica
369,10892152517.70127,Margaretamys elegans
370,4892338915.168473,Marmota vancouverensis
371,7387219915641.796,Mastomys erythroleucus
372,78254757743.2015,Maxomys inflatus
373,170865374032.07852,Maxomys musschenbroekii
374,2596306739763.1924,Megaderma spasma
375,128870626387.02768,Megaderma spasma
376,170866124657.82748,Megaderma spasma
377,433489968371.3398,Megaderma spasma
378,6668737982967.419,Micronycteris hirsuta
379,107149952.57342868,Myotis pruinosus
380,1277103845709.3594,Myotis pilosus
381,163713225293.31647,Niviventer cremoriventer
382,1938927332327.076,Nycteris gambiensis
383,515741420435.77203,Nycticebus pygmaeus
384,5678364274254.822,Oreotragus oreotragus
385,1850099122045.0056,Pachyuromys duprasi
386,419103367281.40875,Pan paniscus
387,35286675.68783169,Syconycteris australis
388,18236007315.72363,Petaurus breviceps
389,35896985202.85578,Petaurus breviceps
390,790326413492.7552,Petaurus breviceps
391,106763648.66093999,Petaurus breviceps
392,115179613230.1095,Petaurus breviceps
393,5208565936105.074,Pipistrellus abramus
394,792657344302.2332,Platyrrhinus vittatus
395,26671518639.87166,Pipistrellus abramus
396,3754250675527.8174,Pipistrellus hesperus
397,3151430617829.651,Pipistrellus rueppellii
398,270367401744.41965,Presbytis frontata
399,113675226.55833094,Piliocolobus waldronae
400,2073498112925.6106,Pseudomys delicatulus
401,3640034145420.597,Pteropus scapulatus
402,16275388.74789126,Crocidura canariensis
403,37439950.31334676,Crocidura canariensis
404,399828213710.5641,Rattus lutreolus
405,9503824495272.168,Rattus tanezumi
406,2273016885066.118,Rattus tanezumi
407,477812179436.41797,Rattus tanezumi
408,791178.0857132894,Rhinolophus cognatus
409,533548099210.4144,Mops congicus
410,366270065.29141,Rattus jobiensis
411,40179452953.78395,Rhinolophus arcuatus
412,1465920509.170964,Coendou vestitus
413,11903782234.284687,Rhinolophus arcuatus
414,3818057543410.9746,Steatomys pratensis
415,82180871070.78905,Rhinolophus arcuatus
416,56300516474.91463,Rhinolophus arcuatus
417,144506184.9400437,Rhinolophus macrotis
418,478070947348.1891,Rhinolophus paradoxolophus
419,2877207155726.809,Rhinolophus macrotis
420,6252242134692.75,Rhinopoma microphyllum
421,8685904.243925592,Rousettus bidens
422,170865374032.07852,Rubrisciurus rubriventer
423,1974759342036.7346,Saccolaimus peli
424,2010683801799.1458,Myotis capaccinii
425,15939627369.070734,Myotis capaccinii
426,13867472580.784056,Myotis capaccinii
427,4198181078985.405,Dermanura anderseni
428,293624690.0077107,Aselliscus stoliczkanus
429,803125765.4471139,Aselliscus tricuspidatus
430,56844510.72108594,Aselliscus tricuspidatus
431,16692003.682183709,Taphozous australis
432,27866817.278951354,Spilocuscus maculatus
433,1901996137.1726215,Aselliscus tricuspidatus
434,30035155763.875454,Mico mauesi
435,14818033978763.348,Atilax paludinosus
436,150774216.2448984,Trachypithecus obscurus
437,41202780188.44867,Taphozous australis
438,4155035788.454224,Nyctimene cyclotis
439,467713775.1504302,Cervus nippon
440,1451082125.3086739,Sundasciurus lowii
441,34248238.04705823,Sundasciurus lowii
442,2303700183.864633,Hipposideros ater
443,323466020.3766522,Sundasciurus lowii
444,2666040184938.3164,Vulpes chama
445,2840536329142.3765,Rousettus aegyptiacus
446,1632729721534.2664,Rousettus aegyptiacus
447,62409099.31842426,Sundasciurus lowii
448,433487752992.2754,Sundasciurus lowii
449,456626599.36394614,Syconycteris australis
450,64294357.90796833,Capra falconeri
451,10827472174369.357,Metachirus nudicaudatus
452,1410484049016.8806,Planigale maculata
453,1783614228280.8928,Alouatta macconnelli
454,146348484454.01544,Crocidura latona
455,201130762592.92075,Pseudochirops cupreus
456,453694088364.0427,Talpa caeca
457,348099932948.74725,Tupaia minor
458,379344326275.32007,Antechinus swainsonii
459,97664174419.41953,Antechinus swainsonii
460,122374247235.6065,Potorous tridactylus
461,58361303631.610794,Potorous tridactylus
462,5851731269596.42,Nycticeinops schlieffeni
463,67837660498.430305,Viverricula indica
464,6247360816613.846,Potamochoerus larvatus
465,215630527.33007178,Tadarida teniotis
466,23291700.761693284,Tadarida teniotis
467,286337614.96785563,Aselliscus tricuspidatus
468,1374638865.891208,Syconycteris australis
469,663740303.4432786,Cervus nippon
470,251541848.5870663,Cervus nippon
471,18198086879.015137,Cervus nippon
472,222654346.42252225,Cervus nippon
473,5055652.030691158,Cervus nippon
474,9057014.448319772,Cervus nippon
475,3630159831211.504,Hipposideros gigas
476,1983857676473.5024,Glauconycteris beatrix
477,2066027728.5710306,Syconycteris australis
478,12144845842.51579,Neoromicia flavescens
479,6202880817739.384,Neoromicia somalica
480,16739091514.189838,Cacajao calvus
481,39866833.91948016,Tadarida teniotis
482,49163638.14086483,Batomys hamiguitan
483,28512105967.201305,Crocidura phanluongi
484,28512105967.201305,Crocidura phanluongi
485,206879632.00168222,Crocidura phuquocensis
486,206879632.00168222,Crocidura phuquocensis
487,9661545300.107517,Crocidura zaitsevi
488,458728803.89004314,Rattus korinchi
489,27657937.12537714,Myosorex bururiensis
490,3246329222.631903,Myosorex gnoskei
491,1132681863.7597709,Pseudohydromys occidentalis
492,242403160.89879104,Ailurops ursinus
493,3554160723.419595,Piliocolobus epieni
494,3499594120.9823456,Piliocolobus preussi
495,187226727.6426513,Tachyglossus aculeatus
496,7647782.704210086,Tachyglossus aculeatus
497,186783597861.94666,Neacomys minutus
498,739081660252.7267,Crocidura foetida
499,52877552443.61031,Microgale grandidieri
500,35895389437.815056,Hipposideros ater
501,347929345779.17975,Hipposideros ater
502,84566795.94891438,Tadarida teniotis
503,14969559198.840727,Acinonyx jubatus
504,1944240509404.8123,Sorex coronatus
505,47666610348206.51,Sorex minutus
506,151177138.8681197,Syconycteris australis
507,431743409.482192,Nyctimene robinsoni
508,34328340.22908463,Nyctimene robinsoni
509,60796261.10167645,Nyctimene robinsoni
510,49436734816.52223,Ovis canadensis
511,3344452515105.2427,Rhinolophus hildebrandtii
512,318017099.37633294,Rhinolophus hildebrandtii
513,6383768998.921569,Bibimys torresi
514,921752916.9697905,Mops bakarii
515,3200829071996.9966,Dendromus mystacalis
516,3005359022.0901465,Dipodomys gravipes
517,14742592.4380097,Emballonura semicaudata
518,4378999160583.5537,Herpestes auropunctatus
519,4378999160583.5537,Herpestes auropunctatus
520,906174042523.1779,Herpestes auropunctatus
521,906174042523.1779,Herpestes auropunctatus
522,34931589.386814676,Emballonura semicaudata
523,420578945.5537615,Herpestes auropunctatus
524,4232242458.6913643,Dipodomys stephensi
525,50939627.581753165,Emballonura semicaudata
526,420578945.5537615,Herpestes auropunctatus
527,1549538032489.216,Arctonyx collaris
528,291494683305.70166,Arctonyx collaris
529,292056167965.2246,Arctonyx collaris
530,16717145.264103867,Dipodomys stephensi
531,2599384630914.4404,Mormopterus petersi
532,2934816526.363514,Mormopterus francoismoutoui
533,187230058.17280146,Petrogale burbidgei
534,50082478.99632687,Petrogale burbidgei
535,9362325.151683426,Petrogale burbidgei
536,375624575.03283757,Murina ussuriensis
537,453790947.880756,Rhinolophus creaghi
538,200254510662.94214,Rhogeessa gracilis
539,448988949.1916504,Rousettus obliviosus
540,1023226458.7202673,Murina ussuriensis
541,443404927423.1684,Allenopithecus nigroviridis
542,2730010268085.8647,Dermanura glauca
543,41763496253.07298,Budorcas taxicolor
544,1082147857.780202,Rousettus obliviosus
545,220637418.93185312,Rousettus obliviosus
546,124059199328.25954,Sciurus flammifer
547,864758429.9335786,Capricornis sumatraensis
548,9893908719.269636,Cercopithecus erythrogaster
549,493082309.21624374,Solisorex pearsoni
550,64889248500.705864,Cercopithecus erythrogaster
551,110493113086.84174,Ateles geoffroyi
552,185044805921.73392,Bandicota bengalensis
553,164704579825.1111,Promops davisoni
554,959814679.3847059,Phloeomys cumingi
555,4545629976.360469,Peromyscus grandis
556,19326174257.355846,Peromyscus guatemalensis
557,323053571.15674126,Chiroderma vizzotoi
558,6330162521499.019,Anoura caudifer
559,2559523071202.823,Carollia castanea
560,1304611607.9795027,Lonchophylla peracchii
561,4805307370896.657,Rhogeessa io
562,325931821.9698403,Rhogeessa io
563,6141884947956.923,Necromys lasiurus
564,5050330506.467213,Rhogeessa io
565,932199878703.97,Vampyrodes major
566,44604726803.454544,Sturnira koopmanhilli
567,6168313051.208202,Sturnira perla
568,1043374217953.45,Platyrrhinus angustirostris
569,3201989900917.749,Phodopus sungorus
570,76114314.75288072,Bubalus mindorensis
571,20022749020.22701,Herpestes fuscus
572,117.99074290701216,Leporillus conditor
573,259705475973.21417,Calomys sorellus
574,202605214.04705608,Phalanger orientalis
575,54233031.345559694,Leporillus conditor
576,4999378616.809288,Phyllotis definitus
577,27216197011.378452,Cercopithecus mitis
578,3003912369.8603706,Xerospermophilus perotensis
579,391295848616.4211,Lonchorhina orinocensis
580,582356039937.2377,Lophocebus aterrimus
581,377139.3797322568,Cavia intermedia
582,145140021258.67276,Lophocebus aterrimus
583,60682887.3406857,Petrogale lateralis
584,60893958632.91923,Cephalophus jentinki
585,301293043556.2158,Carterodon sulcidens
586,26300575406.243347,Cercopithecus mitis
587,46471975209.25409,Crocidura nimbae
588,64054017404.16438,Lophuromys luteogaster
589,193716219023.85892,Macaca nemestrina
590,273740977764.51132,Cercopithecus mitis
591,16699435012.231438,Cryptotis obscura
592,172855600012.08585,Cercopithecus mitis
593,153571971492.25613,Maxomys rajah
594,739080749578.8379,Maxomys rajah
595,479739910.21199965,Cercopithecus mitis
596,15079157647.893515,Cercopithecus mitis
