Binomial,Range size (sq km),Log10 range size,Body mass (g),Log10 body mass,Population density (individuals/ha),Log10 population density,Study area (ha),Log10 study area,iqr mean annual temperature,iqr precipitation,iqr seasonality,iqr altitude,iqr NPP,iqr solar radiation,Diet (Proxy for Trophic level),Biogeographical realm,Range size within biogeographical realm (sq km),Population density and study area reference,Taxonomic group
Oxyruncus cristatus,1872043.955,6.272,42.000,1.623,13.600,1.134,0.250,-0.602,233.000,1640.000,1096.000,352.000,11.945,49.742,Herbivorous,Neotropic,1871562.100,"Thiollay, J-M. 1992 Influence of selective logging on bird species diversity in a Guianan rain forest. Cons. Biol. 6: 47-63",Birds
Pachycoccyx audeberti,4406478.895,6.644,102.850,2.012,0.020,-1.699,100.000,2.000,228.000,1088.000,1864.000,850.000,11.786,62.300,Carnivorous,Afrotropic,4406730.760,"Vernon, C. J. (1985) Bird populations in two woodlands near Lake Kyle, Zimbabwe. Honeyguide 31: 148-161.",Birds
Pachyramphus marginatus,6344838.897,6.802,18.400,1.265,0.080,-1.097,180.000,2.255,259.000,2268.000,512.000,164.000,11.992,43.717,Omnivorous,Neotropic,6342080.868,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. 1990 Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Pachyramphus minor,6895157.830,6.839,36.600,1.563,0.070,-1.155,180.000,2.255,259.000,2229.000,497.000,180.000,11.992,43.825,Omnivorous,Neotropic,6893858.397,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. 1990 Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Pachyramphus polychopterus,13913694.220,7.143,20.800,1.318,0.030,-1.523,180.000,2.255,253.000,1724.000,749.000,212.000,11.918,50.458,Omnivorous,Neotropic,13905118.340,"Munn, C. 1995 Permanent canopy and understory flocks in Amazonia: species composition and population density. Ecological Monographs 36: 683-712",Birds
Pachyramphus rufus,3903343.224,6.591,18.800,1.274,0.012,-1.939,2.500,0.398,264.000,2244.000,458.000,116.000,11.995,46.117,Carnivorous,Neotropic,3898621.390,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Parula pitiayumi,8362816.504,6.922,6.820,0.834,0.012,-1.921,2.500,0.398,235.000,1357.000,1541.000,347.000,11.826,54.475,Carnivorous,Neotropic,8230152.292,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Parus afer,427816.820,5.631,20.200,1.305,0.040,-1.398,100.000,2.000,159.000,272.000,4325.000,940.000,10.999,74.492,Carnivorous,Afrotropic,427814.953,"Tarboton, W. R. (1980) Avan populations in the Transvaal savanna. Proc. IV Pan-Afr. Orn. Congr. 113-124.",Birds
Parus griseiventris,1535850.776,6.186,15.500,1.190,0.060,-1.222,100.000,2.000,208.000,1041.000,2327.000,1175.000,11.780,63.479,Carnivorous,Afrotropic,1535848.414,"Vernon, C. J. (1985) Bird populations in two woodlands near Lake Kyle, Zimbabwe. Honeyguide 31: 148-161.",Birds
Parus niger,2533954.771,6.404,21.500,1.332,0.133,-0.876,100.000,2.000,216.000,670.000,3064.000,968.000,11.566,68.804,Carnivorous,Afrotropic,2533935.403,"Tarboton, W. R. (1980) Avan populations in the Transvaal savanna. Proc. IV Pan-Afr. Orn. Congr. 113-124.",Birds
Passer griseus,10500022.300,7.021,27.820,1.444,0.508,-0.294,100.000,2.000,262.000,1063.000,1619.000,431.000,11.660,62.867,Herbivorous,Afrotropic,10325333.690,"Vernon, C. J. (1985) Bird populations in two woodlands near Lake Kyle, Zimbabwe. Honeyguide 31: 148-161.",Birds
Passer luteus,2865571.989,6.457,11.200,1.049,8.832,0.946,0.346,-0.461,282.000,220.000,3326.000,370.000,10.709,72.229,Herbivorous,Afrotropic,2558639.786,"Jones, P., Vickery, J., Holt, S. and Cresswell, W. (1996) A preliminary assessment of some factors influencing the density and distribution of palearctic passerine migrants wintering in the Sahel zone of West Africa. Bird Study 43: 73-84.",Birds
Passer melanurus,1765377.028,6.247,29.500,1.470,0.205,-0.688,20.000,1.301,179.000,367.000,4405.000,1089.000,11.092,76.000,Herbivorous,Afrotropic,1765372.668,"Dean, W. R. J. (1995) Where birds are rare or fill the air: the protection of the endemic and the nomadic avifaunas of the Karoo. PhD thesis, Zoology Dept, University of Cape Town.",Birds
Patagioenas cayennensis,13517173.490,7.131,229.000,2.360,0.004,-2.398,2.500,0.398,254.000,1792.000,688.000,228.000,11.932,49.492,Herbivorous,Neotropic,13505787.240,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Patagioenas plumbea,6564861.717,6.817,178.770,2.252,0.170,-0.770,97.000,1.987,256.000,2163.000,549.000,202.000,11.987,43.742,Omnivorous,Neotropic,6562070.324,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. (1990) Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Patagioenas speciosa,9715624.808,6.987,258.470,2.412,0.055,-1.260,2.500,0.398,258.000,2085.000,560.000,190.000,11.982,46.158,Herbivorous,Neotropic,9706401.967,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Patagioenas subvinacea,6896411.510,6.839,162.480,2.211,0.008,-2.097,2.500,0.398,259.000,2266.000,497.000,165.000,11.991,43.467,Herbivorous,Neotropic,6891699.055,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Pauxi unicornis,72071.333,4.858,3743.230,3.573,0.200,-0.699,60.000,1.778,234.000,1910.000,1367.500,698.000,12.012,56.858,Herbivorous,Neotropic,72071.332,"Cox, G., Read, J. M., Clarke, R. O. S. and Easty, V. S. (1997) Studies of Horned Currasow Pauxi unicornis in Bolivia. Bird Conservation Intenrational 7:199-211.",Birds
Penelope jacquacu,5007155.406,6.700,1487.900,3.173,0.020,-1.699,97.000,1.987,259.000,2318.000,507.000,171.000,11.990,42.663,Herbivorous,Neotropic,5006944.657,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. 1990 Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Penelope marail,1217962.928,6.086,879.670,2.944,0.034,-1.475,2.500,0.398,263.000,2206.000,573.500,157.000,12.014,51.700,Herbivorous,Neotropic,1217165.908,"Thiollay, J-M. 1992 Influence of selective logging on bird species diversity in a Guianan rain forest. Cons. Biol. 6: 47-63",Birds
Penelope montagnii,368407.697,5.566,706.000,2.849,0.300,-0.523,101.300,2.006,168.000,1431.000,465.000,2119.000,11.660,41.358,Herbivorous,Neotropic,368467.753,"Cresswell et al. (1999) Densities and habitat preferences of Andean cloud-forest birds in pristine and degraded habitats in north-eastern Ecuador. Bird Conservational Internetional, 9, 29-145",Birds
Percnostola lophotes,172739.535,5.237,28.000,1.447,0.010,-2.000,97.000,1.987,251.000,2040.000,726.000,349.000,11.998,49.200,Carnivorous,Neotropic,172729.552,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. 1990 Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Percnostola rufifrons,1102113.163,6.042,23.890,1.378,0.079,-1.102,2.500,0.398,263.000,2380.000,578.000,140.500,12.007,49.208,Carnivorous,Neotropic,1102088.164,"Thiollay, J-M. 1992 Influence of selective logging on bird species diversity in a Guianan rain forest. Cons. Biol. 6: 47-63",Birds
Perissocephalus tricolor,1655162.089,6.219,338.880,2.530,28.000,1.447,0.250,-0.602,264.000,2263.000,526.000,158.000,12.010,49.975,Herbivorous,Neotropic,1654411.088,"Thiollay, J-M. 1992 Influence of selective logging on bird species diversity in a Guianan rain forest. Cons. Biol. 6: 47-63",Birds
Petronia dentata,4184680.085,6.622,18.400,1.265,0.990,-0.004,0.346,-0.461,273.000,855.000,1999.000,386.000,11.500,66.638,Herbivorous,Afrotropic,4184639.102,"Jones, P., Vickery, J., Holt, S. and Cresswell, W. (1996) A preliminary assessment of some factors influencing the density and distribution of palearctic passerine migrants wintering in the Sahel zone of West Africa. Bird Study 43: 73-84.",Birds
Petronia superciliaris,3946558.897,6.596,24.000,1.380,0.100,-1.000,100.000,2.000,214.000,1003.000,2456.000,1043.000,11.759,64.025,Omnivorous,Afrotropic,3946548.590,"Vernon, C. J. (1985) Bird populations in two woodlands near Lake Kyle, Zimbabwe. Honeyguide 31: 148-161.",Birds
Phaeothlypis rivularis,3992918.170,6.601,13.500,1.130,0.021,-1.678,2.500,0.398,254.000,1985.000,571.000,247.000,11.996,48.000,Carnivorous,Neotropic,3989646.427,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Phaethornis bourcieri,2738930.965,6.438,4.300,0.633,0.030,-1.523,2.500,0.398,262.000,2499.000,487.000,149.000,11.990,44.079,Herbivorous,Neotropic,2738333.302,"Thiollay, J-M. 1992 Influence of selective logging on bird species diversity in a Guianan rain forest. Cons. Biol. 6: 47-63",Birds
Phaethornis hispidus,4008380.004,6.603,5.000,0.699,0.040,-1.398,97.000,1.987,258.000,2359.000,558.000,175.000,11.984,42.325,Herbivorous,Neotropic,4008385.569,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. 1990 Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Phaethornis longuemareus,281733.538,5.450,3.000,0.477,0.018,-1.757,2.500,0.398,261.000,2292.000,547.000,75.000,12.006,54.333,Herbivorous,Neotropic,280836.315,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Phaethornis malaris,3802017.574,6.580,5.900,0.771,0.068,-1.167,2.500,0.398,259.000,2393.000,499.000,153.500,11.988,41.192,Herbivorous,Neotropic,3802000.190,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Phaethornis ruber,9728594.233,6.988,2.400,0.380,0.073,-1.140,2.500,0.398,256.000,1928.000,594.000,220.000,11.981,47.775,Herbivorous,Neotropic,9725977.682,"Thiollay, J-M. 1992 Influence of selective logging on bird species diversity in a Guianan rain forest. Cons. Biol. 6: 47-63",Birds
Phaethornis stuarti,147916.919,5.170,2.900,0.462,0.010,-2.000,97.000,1.987,218.000,1791.500,1071.000,1178.000,11.983,55.933,Herbivorous,Neotropic,147916.921,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. 1990 Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Phaethornis superciliosus,2562461.370,6.409,6.300,0.799,0.080,-1.097,97.000,1.987,263.000,2189.000,480.000,160.000,12.009,47.892,Herbivorous,Neotropic,2561182.283,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. 1990 Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Philydor erythrocercum,5418107.296,6.734,25.270,1.403,0.090,-1.046,97.000,1.987,258.000,2223.000,513.000,180.000,11.994,43.208,Carnivorous,Neotropic,5415616.859,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. (1990) Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Philydor erythropterum,3018606.621,6.480,30.000,1.477,0.050,-1.301,97.000,1.987,258.000,2292.000,486.000,178.000,11.992,40.738,Carnivorous,Neotropic,3016797.790,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. (1990) Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Philydor pyrrhodes,4931180.281,6.693,30.500,1.484,0.012,-1.921,2.500,0.398,261.000,2372.500,488.000,142.000,11.993,43.329,Carnivorous,Neotropic,4928549.047,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Philydor ruficaudatum,4131478.069,6.616,30.100,1.479,0.060,-1.222,97.000,1.987,259.000,2235.000,503.000,185.000,12.000,43.354,Carnivorous,Neotropic,4129154.323,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. (1990) Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Philydor rufum,2187794.439,6.340,25.000,1.398,0.020,-1.699,180.000,2.255,223.000,1483.000,1869.000,533.000,11.860,52.058,Carnivorous,Neotropic,2187101.746,"Munn, C. (1985) Permanent canopy and understory flocks in Amazonia: species composition and population density. Ecological Monographs 36: 683-712",Birds
Phlegopsis nigromaculata,3887106.506,6.590,45.240,1.656,0.090,-1.046,97.000,1.987,258.000,2223.000,490.000,165.000,11.992,41.958,Carnivorous,Neotropic,3884517.920,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. 1990 Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Phoenicircus carnifex,1387058.900,6.142,82.870,1.918,0.018,-1.745,2.500,0.398,265.000,2237.000,551.000,123.000,12.018,49.712,Herbivorous,Neotropic,1384818.997,"Thiollay, J-M. (1992) Influence of selective logging on bird species diversity in a Guianan rain forest. Cons. Biol. 6: 47-63",Birds
Phoeniculus purpureus,12279518.910,7.089,73.210,1.865,0.053,-1.276,100.000,2.000,244.000,867.000,2151.000,619.000,11.610,66.108,Carnivorous,Afrotropic,12278774.690,"Tarboton, W. R. (1980) Avan populations in the Transvaal savanna. Proc. IV Pan-Afr. Orn. Congr. 113-124.",Birds
Phoenicurus phoenicurus,13783613.600,7.139,14.590,1.164,0.350,-0.456,0.346,-0.461,28.000,556.000,10032.000,172.000,11.180,37.800,Carnivorous,Palearctic,13744237.290,"Jones, P., Vickery, J., Holt, S. and Cresswell, W. (1996) A preliminary assessment of some factors influencing the density and distribution of palearctic passerine migrants wintering in the Sahel zone of West Africa. Bird Study 43: 73-84.",Birds
Phrygilus fruticeti,2085195.598,6.319,38.800,1.589,0.200,-0.699,25.000,1.398,92.000,229.000,4198.500,1184.500,10.913,60.717,Herbivorous,Neotropic,2085168.762,"Ralph, C.J. (1985) Habitat association patterns of forest and steppe birds of northern Patagonia, Argentina. Condor 87:471-483.",Birds
Phrygilus gayi,845431.994,5.927,25.590,1.408,0.100,-1.000,25.000,1.398,81.000,258.000,4435.000,888.000,10.951,57.475,Herbivorous,Neotropic,844137.772,"Ralph, C.J. (1985) Habitat association patterns of forest and steppe birds of northern Patagonia, Argentina. Condor 87:471-483.",Birds
Phrygilus patagonicus,536600.003,5.730,22.600,1.354,0.850,-0.071,25.000,1.398,64.000,1114.500,3391.000,467.500,11.289,50.658,Herbivorous,Neotropic,524050.274,"Ralph, C.J. (1985) Habitat association patterns of forest and steppe birds of northern Patagonia, Argentina. Condor 87:471-483.",Birds
Phrygilus unicolor,1357910.556,6.133,21.900,1.340,0.100,-1.000,101.300,2.006,71.000,483.500,2841.500,3478.000,11.170,61.121,Herbivorous,Neotropic,1350322.860,"Cresswell, W., Hughes, M., Mellanby, R., Bright, S., Catry, P., Chaves, J., Freile, J., Gabela, A., Martineau, H., Macleod, R., McPhie, F., Anderson, N., Holt, S., Barabas, S., Chapel, C. and Sanchez, T. (1999) Densities and habitat preferences of Andean Densities and habitat preferences of Andean cloud-forest birds in pristine and degraded habitats in north-eastern Ecuador. Bird Conservation International 9:129-145.",Birds
Phyllastrephus terrestris,2434910.955,6.386,31.080,1.492,0.125,-0.903,100.000,2.000,220.000,866.000,2671.000,764.000,11.703,66.150,Omnivorous,Afrotropic,2434845.974,"Vernon, C. J. (1985) Bird populations in two woodlands near Lake Kyle, Zimbabwe. Honeyguide 31: 148-161.",Birds
Phylloscartes virescens,428287.085,5.632,8.500,0.929,0.014,-1.854,2.500,0.398,260.000,2349.500,599.000,150.000,12.026,53.367,Carnivorous,Neotropic,427897.736,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Phylloscopus bonelli,2230709.585,6.348,8.690,0.939,0.220,-0.658,0.346,-0.461,120.000,726.000,6199.000,566.000,11.489,53.400,Carnivorous,Palearctic,2226142.739,"Jones, P., Vickery, J., Holt, S. and Cresswell, W. (1996) A preliminary assessment of some factors influencing the density and distribution of palearctic passerine migrants wintering in the Sahel zone of West Africa. Bird Study 43: 73-84.",Birds
Phylloscopus trochilus,15849274.620,7.200,8.700,0.940,0.257,-0.591,100.000,2.000,-18.000,496.000,13348.000,198.000,11.035,34.692,Carnivorous,Palearctic,15804530.030,"Tarboton, W. R. (1980) Avan populations in the Transvaal savanna. Proc. IV Pan-Afr. Orn. Congr. 113-124.",Birds
Phytotoma rara,477944.708,5.679,47.000,1.672,0.200,-0.699,25.000,1.398,77.000,732.000,3769.000,735.000,11.434,53.500,Herbivorous,Neotropic,475185.136,"Ralph, C.J. (1985) Habitat association patterns of forest and steppe birds of northern Patagonia, Argentina. Condor 87:471-483.",Birds
Piaya cayana,13983331.410,7.146,101.980,2.009,0.080,-1.097,97.000,1.987,254.000,1780.000,704.000,225.000,11.925,49.583,Carnivorous,Neotropic,13963236.480,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. (1990) Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Piaya melanogaster,4840301.347,6.685,102.820,2.012,0.005,-2.301,2.500,0.398,260.000,2351.000,480.000,158.000,11.993,42.517,Carnivorous,Neotropic,4839976.043,"Thiollay, J-M. (1992) Influence of selective logging on bird species diversity in a Guianan rain forest. Cons. Biol. 6: 47-63",Birds
Piculus chrysochloros,8592393.660,6.934,88.000,1.944,0.020,-1.699,97.000,1.987,258.000,2000.000,576.000,184.000,11.983,46.967,Carnivorous,Neotropic,8589580.647,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. (1990) Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Piculus flavigula,6464130.447,6.811,55.000,1.740,0.049,-1.310,2.500,0.398,259.000,2240.000,497.000,181.000,11.992,43.842,Carnivorous,Neotropic,6462027.223,"Thiollay, J-M. (1992) Influence of selective logging on bird species diversity in a Guianan rain forest. Cons. Biol. 6: 47-63",Birds
Piculus leucolaemus,885350.545,5.947,69.000,1.839,0.030,-1.523,97.000,1.987,253.000,2075.500,567.500,287.000,11.985,42.279,Carnivorous,Neotropic,885346.830,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. (1990) Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Picumnus exilis,1264017.473,6.102,9.300,0.968,0.015,-1.824,2.500,0.398,262.000,2270.000,539.000,136.000,12.004,49.825,Carnivorous,Neotropic,1263847.538,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Picumnus rufiventris,1172679.501,6.069,21.000,1.322,0.080,-1.097,97.000,1.987,257.000,2186.500,560.000,203.000,11.989,41.171,Carnivorous,Neotropic,1172688.131,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. (1990) Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Picumnus spilogaster,232289.547,5.366,13.200,1.121,0.007,-2.155,2.500,0.398,264.000,2197.000,530.000,50.000,11.985,53.608,Carnivorous,Neotropic,231607.183,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Pionites leucogaster,1981807.929,6.297,155.000,2.190,0.120,-0.921,97.000,1.987,256.000,2071.000,463.000,215.000,12.000,43.817,Herbivorous,Neotropic,1981421.241,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. (1990) Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Pionites melanocephalus,2920139.360,6.465,148.780,2.173,0.120,-0.921,2.500,0.398,262.000,2481.000,502.000,163.000,11.990,44.258,Herbivorous,Neotropic,2919064.842,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Pionus fuscus,1865071.421,6.271,206.000,2.314,0.019,-1.721,2.500,0.398,265.000,2201.000,524.000,130.000,12.011,50.042,Herbivorous,Neotropic,1862550.197,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Pionus menstruus,8374719.237,6.923,251.000,2.400,0.017,-1.783,80.000,1.903,259.000,2185.000,517.000,185.000,11.988,44.746,Herbivorous,Neotropic,8368048.755,"Thiollay, J-M. (1992) Influence of selective logging on bird species diversity in a Guianan rain forest. Cons. Biol. 6: 47-63",Birds
Pionus senilis,458582.077,5.661,212.000,2.326,0.007,-2.155,250.000,2.398,251.000,2015.000,1668.000,159.000,11.920,52.292,Omnivorous,Neotropic,454823.473,"Jacobs, M. D. and Walker, J. S. (1999) Density estimates of birds inhabiting fragments of cloud forest in southern Ecuador Bird Conservation Internatoinal 9:73-79",Birds
Pionus sordidus,177971.857,5.250,266.000,2.425,0.011,-1.959,250.000,2.398,203.000,1271.500,569.500,1388.000,11.793,55.692,Herbivorous,Neotropic,177826.650,"Jacobs, M. D. and Walker, J. S. (1999) Density estimates of birds inhabiting fragments of cloud forest in southern Ecuador Bird Conservation Internatoinal 9:73-79",Birds
Pipra aureola,671372.573,5.827,16.140,1.208,0.018,-1.745,2.500,0.398,266.000,2294.000,511.000,43.000,11.996,49.600,Herbivorous,Neotropic,668796.317,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Pipra chloromeros,472752.920,5.675,16.500,1.217,0.010,-2.000,97.000,1.987,248.000,1888.000,659.000,392.000,11.991,48.142,Herbivorous,Neotropic,472751.747,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. (1990) Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Pipra erythrocephala,3456025.365,6.539,13.430,1.128,0.179,-0.747,2.500,0.398,263.000,2468.000,501.000,156.000,11.987,44.525,Herbivorous,Neotropic,3453922.230,"Thiollay, J-M. (1992) Influence of selective logging on bird species diversity in a Guianan rain forest. Cons. Biol. 6: 47-63",Birds
Pipra fasciicauda,4779334.306,6.679,15.900,1.201,0.450,-0.347,97.000,1.987,250.000,1725.000,882.000,282.000,11.953,48.400,Herbivorous,Neotropic,4779337.195,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. (1990) Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Pipra pipra,4953756.902,6.695,11.110,1.046,0.113,-0.949,2.500,0.398,261.000,2338.000,447.000,140.000,11.993,43.233,Herbivorous,Neotropic,4951213.244,"Thiollay, J-M. (1992) Influence of selective logging on bird species diversity in a Guianan rain forest. Cons. Biol. 6: 47-63",Birds
Pipreola arcuata,259323.691,5.414,118.000,2.072,0.159,-0.799,250.000,2.398,142.000,1169.000,497.000,2649.000,11.533,46.442,Herbivorous,Neotropic,259324.757,"Jacobs, M. D. and Walker, J. S. (1999) Density estimates of birds inhabiting fragments of cloud forest in southern Ecuador Bird Conservation Internatoinal 9:73-79",Birds
Piprites chloris,6993995.880,6.845,16.000,1.204,0.095,-1.022,180.000,2.255,259.000,2239.000,507.000,178.000,11.991,43.833,Carnivorous,Neotropic,6991467.535,"Thiollay, J-M. (1992) Influence of selective logging on bird species diversity in a Guianan rain forest. Cons. Biol. 6: 47-63",Birds
Piranga rubra,3269303.717,6.514,29.130,1.464,0.020,-1.699,180.000,2.255,165.000,1051.000,7380.500,241.000,11.604,60.625,Carnivorous,Nearctic,3244352.399,"Munn, C. (1985) Permanent canopy and understory flocks in Amazonia: species composition and population density. Ecological Monographs 36: 683-712",Birds
Pitangus sulphuratus,16133512.360,7.208,62.850,1.798,0.006,-2.222,2.500,0.398,249.000,1569.000,947.000,220.000,11.881,52.129,Omnivorous,Neotropic,15873346.100,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Pithys albifrons,3102809.827,6.492,19.470,1.289,0.145,-0.839,2.500,0.398,262.000,2472.000,507.000,170.000,11.989,44.025,Carnivorous,Neotropic,3101625.950,"Thiollay, J-M. (1992) Influence of selective logging on bird species diversity in a Guianan rain forest. Cons. Biol. 6: 47-63",Birds
Platyrinchus coronatus,5182875.315,6.715,9.140,0.961,0.150,-0.824,97.000,1.987,260.000,2326.000,477.000,153.000,11.993,42.921,Carnivorous,Neotropic,5179336.290,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. (1990) Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Platyrinchus mystaceus,5771193.522,6.761,9.700,0.987,0.084,-1.076,2.500,0.398,239.000,1432.000,1202.000,423.000,11.842,53.442,Carnivorous,Neotropic,5767889.198,"Thiollay, J-M. (1992) Influence of selective logging on bird species diversity in a Guianan rain forest. Cons. Biol. 6: 47-63",Birds
Platyrinchus platyrhynchos,5529330.474,6.743,12.000,1.079,0.120,-0.921,97.000,1.987,260.000,2299.000,472.000,153.000,11.995,43.100,Carnivorous,Neotropic,5526861.685,"Thiollay, J-M. (1992) Influence of selective logging on bird species diversity in a Guianan rain forest. Cons. Biol. 6: 47-63",Birds
Platyrinchus saturatus,2221990.552,6.347,10.700,1.029,0.025,-1.602,2.500,0.398,264.000,2295.000,507.000,140.000,12.008,48.796,Carnivorous,Neotropic,2219356.640,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Platysteira peltata,3620359.383,6.559,13.700,1.137,0.450,-0.347,80.000,1.903,219.000,1101.000,1655.000,1069.000,11.800,61.900,Carnivorous,Afrotropic,3620326.470,"Hurford, J. L., Lombard, A. T., Kemp, A. C. and Benn, G. A. (1996) Geographical analysis of six rare bird species in the Kruger National Park, South Africa. Bird Conservation International 6:117-137.",Birds
Plocepasser mahali,3098839.560,6.491,41.470,1.618,0.445,-0.352,100.000,2.000,208.000,480.000,3394.000,1073.000,11.341,72.600,Omnivorous,Afrotropic,3098839.314,"Tarboton, W. R. (1980) Avan populations in the Transvaal savanna. Proc. IV Pan-Afr. Orn. Congr. 113-124.",Birds
Ploceus cucullatus,13751467.980,7.138,36.080,1.557,0.290,-0.538,0.346,-0.461,245.000,1124.000,1383.000,562.000,11.748,61.446,Omnivorous,Afrotropic,13676626.480,"Jones, P., Vickery, J., Holt, S. and Cresswell, W. (1996) A preliminary assessment of some factors influencing the density and distribution of palearctic passerine migrants wintering in the Sahel zone of West Africa. Bird Study 43: 73-84.",Birds
