Binomial,Range size (sq km),Log10 range size,Body mass (g),Log10 body mass,Population density (individuals/ha),Log10 population density,Study area (ha),Log10 study area,iqr mean annual temperature,iqr precipitation,iqr seasonality,iqr altitude,iqr NPP,iqr solar radiation,Diet (Proxy for Trophic level),Biogeographical realm,Range size within biogeographical realm (sq km),Population density and study area reference,Taxonomic group
Callisaurus draconoides,776491.516,5.890,39.719,1.599,0.415,-0.382,3.140,0.497,79.000,195.000,2418.750,1080.250,0.381,10.183,Carnivorous,Nearctic,728052.601,"Germaine, S.S. & Wakeling, B.F. (2001). Lizard species distributions and habitat occupation along an urban gradient in Tucson, Arizona, USA. Biol. Conserv., 97, 229–237.; Pianka, E. R. and Parker, W. S. (1972). Ecology of the iguanid lizard Callisaurus draconoides. Copeia, 1972, 493-508.",Lizards
Carlia jarnoldae,157608.851,5.198,2.153,0.333,8.700,0.940,1.000,0.000,28.000,482.500,1099.000,309.000,0.208,5.054,Carnivorous,Australasia,156891.147,"Kutt, a. S., Bateman, B.L. & Vanderduys, E.P. (2011). Lizard diversity on a rainforestsavanna altitude gradient in north-eastern Australia. Aust. J. Zool., 59, 86–94.",Lizards
Carlia munda,2378306.955,6.376,1.521,0.182,2.700,0.431,1.000,0.000,21.000,549.000,1663.000,248.000,0.459,9.642,Carnivorous,Australasia,2367666.162,"Kutt, a. S., Bateman, B.L. & Vanderduys, E.P. (2011). Lizard diversity on a rainforestsavanna altitude gradient in north-eastern Australia. Aust. J. Zool., 59, 86–94.",Lizards
Carlia rostralis,256465.972,5.409,6.808,0.833,18.000,1.255,1.000,0.000,34.000,272.000,867.750,386.000,0.211,6.560,Carnivorous,Australasia,256009.234,"Kutt, a. S., Bateman, B.L. & Vanderduys, E.P. (2011). Lizard diversity on a rainforestsavanna altitude gradient in north-eastern Australia. Aust. J. Zool., 59, 86–94.",Lizards
Carlia rubrigularis,75884.114,4.880,4.365,0.640,3.500,0.544,2.400,0.380,17.000,722.000,782.000,281.000,0.293,3.896,Carnivorous,Australasia,75712.488,"Williams, S. E., Williams, Y. M., VanDerWal, J., Isaac ,J.L., Shoo, L. P. and Johnson, C. N. (2009). Ecological specialization and population size in a biodiversity hotspot: how rare species avoid extinction. Proceedings of the National Academy of Sciences, USA, 106, 19737-19741.",Lizards
Carlia schmeltzii,607944.953,5.784,6.501,0.813,1.300,0.114,1.000,0.000,28.000,366.500,1398.500,253.000,0.228,4.581,Carnivorous,Australasia,605588.243,"Kutt, a. S., Bateman, B.L. & Vanderduys, E.P. (2011). Lizard diversity on a rainforestsavanna altitude gradient in north-eastern Australia. Aust. J. Zool., 59, 86–94.",Lizards
Carlia storri,180397.262,5.256,1.754,0.244,34.700,1.540,1.000,0.000,29.000,728.750,1186.750,344.750,0.269,2.983,Carnivorous,Australasia,179420.493,"Kutt, a. S., Bateman, B.L. & Vanderduys, E.P. (2011). Lizard diversity on a rainforestsavanna altitude gradient in north-eastern Australia. Aust. J. Zool., 59, 86–94.",Lizards
Carlia vivax,749809.403,5.875,2.296,0.361,3.000,0.477,1.000,0.000,46.000,469.250,1784.000,274.000,0.295,6.125,Carnivorous,Australasia,746494.559,"Kutt, a. S., Bateman, B.L. & Vanderduys, E.P. (2011). Lizard diversity on a rainforestsavanna altitude gradient in north-eastern Australia. Aust. J. Zool., 59, 86–94.",Lizards
Carphodactylus laevis,18966.442,4.278,33.884,1.530,0.126,-0.901,2.400,0.380,22.500,548.000,374.250,330.000,0.581,0.592,Carnivorous,Australasia,18861.831,"Williams, S. E., Williams, Y. M., VanDerWal, J., Isaac ,J.L., Shoo, L. P. and Johnson, C. N. (2009). Ecological specialization and population size in a biodiversity hotspot: how rare species avoid extinction. Proceedings of the National Academy of Sciences, USA, 106, 19737-19741.",Lizards
Cercosaura eigenmanni,830173.165,5.919,3.076,0.488,2.308,0.363,2.600,0.415,13.000,428.000,597.750,97.000,0.045,9.433,Carnivorous,Neotropic,830173.165,"Duellman, W.E. (1987). Lizards in an Amazonian Rain Forest Community Resouce Utilization and Abundance. Natl. Geogr. Res., 3, 489–500.",Lizards
Cercosaura ocellata,11098679.050,7.045,6.427,0.808,0.385,-0.415,2.600,0.415,27.000,906.000,1145.000,311.000,0.181,12.383,Carnivorous,Neotropic,11075072.340,"Duellman, W.E. (1987). Lizards in an Amazonian Rain Forest Community Resouce Utilization and Abundance. Natl. Geogr. Res., 3, 489–500.",Lizards
Chalcides bedriagai,443447.647,5.647,20.045,1.302,990.000,2.996,0.080,-1.097,39.000,173.750,907.500,523.500,0.244,5.508,Carnivorous,Palearctic,441922.579,"Hailey, A., Rose, C.A. & Pulford, E. (1987). Food consumption, thermoregulation and ecology of the skink Chalcides bedriagai. Herpetol. J.",Lizards
Chalcides sepsoides,841665.891,5.925,7.870,0.896,165.000,2.217,1.000,0.000,16.000,36.000,862.750,140.000,0.182,4.944,Omnivorous,Palearctic,841171.447,"Ibrahim, A.A. (2001). The reptile community of the Zaranik Protected Area, North Sinai, Egypt with special reference to their ecology and conservation. Egypt. J. Nat. Hist., 3, 81–92.",Lizards
Chlamydosaurus kingii,1907763.816,6.281,912.011,2.960,7.740,0.889,8.900,0.949,40.000,439.000,1662.500,219.000,0.386,8.867,Carnivorous,Australasia,1897536.673,"Griffiths, A.D. (2006). Population size and habitat management of frillneck lizards in a suburban park: Yanyula Park, Darwin. Rep. to Darwin City Counc. Darwin City.",Lizards
Cnemidophorus lemniscatus,5587915.859,6.747,43.451,1.638,80.000,1.903,0.100,-1.000,14.000,670.000,227.000,188.000,0.129,12.475,Omnivorous,Neotropic,5569915.131,"Magnusson, W.E., Franke, C.R. & Kasper, L.A. (1986). Factors Affecting Densities of Cnemidophorus lemniscatus. Copeia, 1986, 804–807.",Lizards
Coeranoscincus frontalis,17896.013,4.253,28.642,1.457,0.011,-1.975,2.400,0.380,16.000,511.250,423.250,172.500,0.133,2.279,Carnivorous,Australasia,17896.012,"Williams, S. E., Williams, Y. M., VanDerWal, J., Isaac ,J.L., Shoo, L. P. and Johnson, C. N. (2009). Ecological specialization and population size in a biodiversity hotspot: how rare species avoid extinction. Proceedings of the National Academy of Sciences, USA, 106, 19737-19741.",Lizards
Coleodactylus natalensis,51560.994,4.712,0.347,-0.460,98.500,1.993,0.010,-2.000,14.000,453.000,181.000,296.000,0.191,1.869,Carnivorous,Neotropic,51529.952,"Lisboa, C.M.C. a & Freire, E.M.X. (2012). Population Density, Habitat Selection and Conservation of Coleodactylus natalensis (Squamata: Sphaerodactylidae) in an Urban Fragment of Atlantic Forest in Northeastern Brazil. South Am. J. Herpetol., 7, 181–190.",Lizards
Coleonyx brevis,587748.516,5.769,5.445,0.736,0.650,-0.187,1.000,0.000,35.000,201.000,1394.500,887.000,0.381,14.550,Carnivorous,Nearctic,587392.409,"Shenbrot, G.I., Rogovin, K. a & Surov, a V. (1991). Comparative analysis of spatial organisation of desert lizard communities in Middle Asia and Mexico. Oikos, 61, 157–168.",Lizards
Coleonyx variegatus,580023.040,5.763,8.730,0.941,18.500,1.267,1.100,0.041,52.000,189.000,2327.000,795.000,0.345,9.760,Carnivorous,Nearctic,569226.570,"Parker, W. (1972). Ecological study of the western whiptail lizard, Cnemidophorus tigris gracilis, in Arizona. Herpetologica, 28, 360–369.",Lizards
