"","Range_size"
"10863",20997770224.4874
"1087",9720524798.36741
"10879",351407388435.328
"10886",6470372440.49973
"10887",5206222882.18748
"1089",11984214482.7466
"10911",1305249402410.6
"10912",8111416601350.4
"10913",434057643618.327
"10954",265889713.921574
"10957",916239899924.744
"10966",28990971118.1502
"10968",3220914358.18031
"10969",2952050415867.43
"10970",198326929721.732
"10971",593891519906.649
"10972",305458939.398063
"10973",52244177890.4944
"10974",4047308258350.48
"10975",867950148280.272
"10976",347552599978.472
"10977",9072403915544.85
"10978",143471134529.64
"10979",216626526625.067
"10980",40729300897.8329
"10981",789928257776.593
"10982",474747755903.121
"10983",1213322006595.86
"10984",1206175725352.96
"10985",2925844423330.67
"10986",1100356193510.9
"10987",214657473424.175
"10988",708728305988.236
"11033",202159534808.337
"11034",110602965862.061
"11035",8949699489190.13
"11036",3004386155942.18
"11037",376058838702.019
"11050",16442847399.4171
"110500058",7834003.94432041
"11061",405854327605.827
"11062",2158692083.88043
"110662638",519015505705.426
"110662669",183846804880.85
"110678346",13167700728.8785
"11135",81889650743.7586
"11136",330447411960.342
"11137",27774565830.7258
"11138",1918973514465.38
"11148",1776083637373.59
"11149",52863812962.0141
"11161",1884273007129.83
"11162",95234491.3026626
"11170",1466480450243.31
"11171",137024154.987592
"11175",654624533644.415
"111754705",372998122773.492
"111767309",53974596860.9611
"11179",4713405110337.19
"11186",1658710892040
"111871214",161230409442.794
"111871663",153433286691.287
"111872341",190363116673.653
"111873049",6956655160.24407
"111873543",429938490006.713
"111876319",5211996614.12813
"111876611",66459963.5686527
"111949037",254424915508.323
"11202",439833802.972597
"112393452",72930145548.7015
"112464492",31663274130.9172
"112503255",813337909.954781
"112503346",1435413903.47797
"112515709",5471909374.27484
"11304",52688425313.1427
"11305",1276285787588.34
"11306",113527872443.907
"11307",6004261157.192
"11339",10110807933279.8
"11340",819069349399.918
"11341",48822137881.6302
"11342",771621691790.434
"11343",91214677.9997775
"11345",21071173115758.4
"11347",4881497799138.06
"11348",7397389655.94859
"11349",8611521.7826373
"11350",13205182547095.3
"11351",1322635975409.25
"11352",1748790816186.68
"11353",1193515159834.32
"1137",5766469120322.01
"11374",15077456356.8513
"11378",7568026742053.66
"11384",1323546530468.15
"11385",1981608762571.23
"11387",315224431.690876
"1140",210235628157.969
"1141",93566481477.6692
"11480",2123204580336.81
"11481",758091765150.37
"11482",2175080259795.16
"11486",404854097.414544
"11487",249140730585.443
"11488",241558520029.365
"11489",599556135625.373
"1149",16430670395.9421
"11490",317272451.960594
"11491",266638323613.827
"11492",750784975638.513
"11493",2429390548380.36
"11494",640163050.753426
"11495",4422632816592.35
"114955348",1644216947323.92
"114957548",809586618166.665
"11496",100077994711.328
"11498",116927085388.377
"114980541",48616401800.7403
"11499",238786058359.822
"11500",32875482991.7649
"11503",334964064.224864
"11505",63670785053.7516
"11506",3990551967.76202
"11509",14546322928231.1
"1151",1416968014363.95
"11511",12288746405349.8
"11518",2061787685207.72
"11519",109201361427.45
"11520",2538761319680.07
"11521",6004261157.192
"1154",178408336410.825
"115553730",217645375535.278
"115554360",161379269948.508
"115555116",145116986251.007
"115590985",286548336839.273
"11616",9548799001.91234
"11617",9063523920.43655
"11618",1953794946.09389
"11619",666516789.804871
"11620",25759909080.7058
"11621",15920184370.3894
"11622",141553444.664491
"11633",628600935580.095
"11634",705737238.253864
"11638",12952310552735.7
"11691",73683008588.8574
"11692",49834334906.1989
"11693",764467942.84383
"11697",949993754579.274
"116988741",675863647348.041
"116989038",931882465.063454
"11699",840356495122.206
"117189944",271440285325.746
"117582065",252197761096.935
"11790",111721714.978789
"11791",20104831225506.8
"11792",423872058756.758
"11793",586554781.735259
"11794",82426560.8228083
"11795",210409682576.965
"11796",581120533228.912
"11797",4980046019.27675
"11798",195235017008.551
"11856",309943899462.186
"11933",77730786257.2368
"11966",7337280882512.57
"11979",56589478431.9653
"11980",1999965255.98466
"120588639",1024034042.43326
"12073",22429240103.0626
"12074",606822969124.644
"12075",439292265609.565
"12076",169498086142.33
"12077",3178602175.72494
"12078",7274395166621.24
